model,task_type,dataset,n_estimators,runs,train_mean_s,train_std_s,predict_mean_s,predict_std_s
distributed,classification,iris_train.csv,30,2,3.457547,0.624033,0.362241,0.023441
baseline,classification,iris_train.csv,30,2,0.121318,0.003336,0.027461,0.025225
