model,task_type,dataset,n_estimators,runs,train_mean_s,train_std_s,predict_mean_s,predict_std_s
distributed,regression,housing_train.csv,100,100,3.154387,0.357860,1.012819,0.243330
baseline,regression,housing_train.csv,100,100,4.308437,0.295710,0.012074,0.003647
