model,task_type,dataset,n_estimators,test_rows,accuracy,mse,rmse,partial_predictions
distributed,classification,iris_train.csv,30,30,0.9333333333333333,,,0
baseline,classification,iris_train.csv,30,30,0.9333333333333333,,,0
